,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R2 Accuracy,,,,,,,,,,,,,,,,,,,,,,R2 Accuracy,,,,,,,MSE Results,,,,,,,,,,,,,,,,,,,,,MSE Results,,,,,,,,RMSE Results,,,,,,,,,,,,,,,,,,,,,,RMSE Results,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Model (3 Years),Training City,Testing City,R2 Mean,STDev,Testing City,R2 Mean,STDev,Testing City,R2 Mean,STDev,Testing City,R2 Mean,STDev,Testing City,R2 Mean,STDev,Avg of Means,Avg of STDev,,Training City,Same-City Testing [R2],Same-City Score,Testing on all Cities [R2],Same-City Score,,,,,Model (3 Years),Training City,Testing City,MSE Mean,STDev,Testing City,MSE Mean,STDev,Testing City,MSE Mean,STDev,Testing City,MSE Mean,STDev,Testing City,MSE Mean,STDev,Avg of Means,Avg of STDev,,Training City,Same-City Testing [MSE],Same-City Score,Testing on all Cities [MSE],Same-City Score,,,,,Model (Regression),Training City,Testing City,Mean,STDev,Testing City,Mean,STDev,Testing City,Mean,STDev,Testing City,Mean,STDev,Testing City,Mean,STDev,Avg of Means,Avg of STDev,,Training City,Same-City Testing [RMSE],Same-City Score,Testing on all Cities [RMSE],Same-City Score,,
,,Decision Tree,"Amherst, MA","Amherst, MA",0.743970822,0.007803023,"Davis, CA",-0.672234107,0.053074291,"Huron, CA",-5.947231881,0.54827199,"Santa Barbara, CA",-4.938520027,0.345902339,"La Jolla, CA",-7.698112657,0.844039542,-3.70242557,0.359818237,,"Davis, CA",Ensemble Bagging,0.961323,Kernel Ridge,0.748125,,,,,Decision Tree,"Amherst, MA","Amherst, MA",0.024617,0.000602,"Davis, CA",0.4424775,0.0057761,"Huron, CA",0.4424775,0.0057761,"Santa Barbara, CA",0.10681175,0.00576231,"La Jolla, CA",0.1124569,0.0086913,0.225768036,0.005321499,,"Davis, CA",NuSVR,0.002667,GRU,0.090948,,,,,Decision Tree,"Amherst, MA","Amherst, MA",0.15688886,0.00191861,"Davis, CA",0.66518036,0.00434252,"Huron, CA",0.6651804,0.0043425,"Santa Barbara, CA",0.3267423,0.0087657,"La Jolla, CA",0.3351783,0.0129854,0.429834033,0.006470954,,"Davis, CA",NuSVR,0.046171,GRU,#REF!,,
,,SVR,"Amherst, MA","Amherst, MA",0.780875584,0.002955181,"Davis, CA",-2.173755158,0.438480924,"Huron, CA",-4.227137419,0.79356849,"Santa Barbara, CA",-3.296772381,0.556019118,"La Jolla, CA",-2.201125305,0.614095642,-2.223582936,0.481023871,,"Davis, CA",NuSVR,0.960771,NuSVR,0.736539,,,,,SVR,"Amherst, MA","Amherst, MA",0.021486,0.000406,"Davis, CA",0.8567082,0.0175564,"Huron, CA",0.0206730,0.0021029,"Santa Barbara, CA",0.02099671,0.00209405,"La Jolla, CA",0.0186578,0.0023481,0.187704321,0.004901511,,"Davis, CA",Ensemble Bagging,0.002750,SVR,0.107970,,,,,SVR,"Amherst, MA","Amherst, MA",0.14657634,0.00138881,"Davis, CA",0.92555297,0.00948052,"Huron, CA",0.1436603,0.0072164,"Santa Barbara, CA",0.1447841,0.0071700,"La Jolla, CA",0.1364189,0.0084555,0.299398519,0.006742247,,"Davis, CA",Ensemble Bagging,0.046672,SVR,0.299829,,
,,NuSVR,"Amherst, MA","Amherst, MA",0.769334698,0.003346589,"Davis, CA",0.857322379,0.004917507,"Huron, CA",0.73925597,0.01845612,"Santa Barbara, CA",0.441539831,0.015505127,"La Jolla, CA",0.70246008,0.008470337,0.701982592,0.010139136,,"Davis, CA",Random Forest,0.958764,Elastic Net,0.735150,,,,,NuSVR,"Amherst, MA","Amherst, MA",0.021539,0.000408,"Davis, CA",0.8546273,0.0164593,"Huron, CA",0.8546273,0.0164593,"Santa Barbara, CA",0.02116017,0.00195192,"La Jolla, CA",0.0188706,0.0022161,0.354164936,0.007498897,,"Davis, CA",MLP NN,0.002948,NuSVR,0.131782,,,,,NuSVR,"Amherst, MA","Amherst, MA",0.14675867,0.00139334,"Davis, CA",0.92443198,0.00889802,"Huron, CA",0.9244320,0.0088980,"Santa Barbara, CA",0.1453634,0.0066682,"La Jolla, CA",0.1372170,0.0079427,0.455640617,0.006760054,,"Davis, CA",MLP,0.049761,NuSVR,0.326975,,
,,MLP NN,"Amherst, MA","Amherst, MA",0.770273688,0.014741507,"Davis, CA",0.824361406,0.031708187,"Huron, CA",0.598710509,0.097336492,"Santa Barbara, CA",0.322909793,0.085021884,"La Jolla, CA",0.634821035,0.049122437,0.630215286,0.055586102,,"Davis, CA",MLP NN,0.954446,Ensemble Bagging,0.735079,,,,,MLP NN,"Amherst, MA","Amherst, MA",0.020625,0.000546,"Davis, CA",0.2483989,0.1308262,"Huron, CA",0.2483989,0.1308262,"Santa Barbara, CA",1.90289395,0.69006082,"La Jolla, CA",1.5292100,0.4846599,0.789905404,0.287383889,,"Davis, CA",Random Forest,0.002962,Nearest Neighbors,0.168554,,,,,MLP NN,"Amherst, MA","Amherst, MA",0.14360666,0.00190239,"Davis, CA",0.48404045,0.14544952,"Huron, CA",0.4840405,0.1454495,"Santa Barbara, CA",1.3620063,0.2678601,"La Jolla, CA",1.2249203,0.2077754,0.739722832,0.153687383,,"Davis, CA",Random Forest,0.054414,Nearest Neighbors,0.376338,,
,,Nearest Neighbors,"Amherst, MA","Amherst, MA",0.740707964,0.003926491,"Davis, CA",0.77009126,0.007844235,"Huron, CA",0.694220828,0.00867424,"Santa Barbara, CA",0.310624752,0.026952705,"La Jolla, CA",0.542518027,0.041182506,0.611632566,0.017716035,,"Huron, CA",Kernel Ridge,0.961908,GRU,0.894339,,,,,Nearest Neighbors,"Amherst, MA","Amherst, MA",0.024871,0.000691,"Davis, CA",0.5004458,0.0070071,"Huron, CA",0.5004458,0.0070071,"Santa Barbara, CA",0.08392888,0.00420963,"La Jolla, CA",0.0859407,0.0034935,0.239126531,0.004481616,,"Huron, CA",Kernel Ridge,0.001763,LSTM,0.325636,,,,,Nearest Neighbors,"Amherst, MA","Amherst, MA",0.15769660,0.00218867,"Davis, CA",0.70741039,0.00495448,"Huron, CA",0.7074104,0.0049545,"Santa Barbara, CA",0.2896444,0.0072468,"La Jolla, CA",0.2931161,0.0059604,0.431055565,0.005060973,,"Huron, CA",Kernel Ridge,0.041984,GRU,#REF!,,
,,Ensemble (Bagging),"Amherst, MA","Amherst, MA",0.818207606,0.003946939,"Davis, CA",0.126838662,0.165914878,"Huron, CA",0.00896187,0.170792621,"Santa Barbara, CA",0.181453703,0.062736494,"La Jolla, CA",0.074540043,0.186704033,0.242000377,0.118018993,,"Huron, CA",Ensemble Bagging,0.954075,Kernel Ridge,0.765117,,,,,Ensemble (Bagging),"Amherst, MA","Amherst, MA",0.017601,0.000589,"Davis, CA",0.4813608,0.0011561,"Huron, CA",0.4813608,0.0011561,"Santa Barbara, CA",0.07479900,0.00095527,"La Jolla, CA",0.0857856,0.0018047,0.228181505,0.001132279,,"Huron, CA",NuSVR,0.002133,GRU,0.326373,,,,,Ensemble (Bagging),"Amherst, MA","Amherst, MA",0.13265809,0.00221169,"Davis, CA",0.69380134,0.00083347,"Huron, CA",0.6938013,0.0008335,"Santa Barbara, CA",0.2734903,0.0017445,"La Jolla, CA",0.2928809,0.0030902,0.417326396,0.001742659,,"Huron, CA",NuSVR,0.046171,LSTM,#REF!,,
,,Elastic Net,"Amherst, MA","Amherst, MA",0.738796423,0.004894561,"Davis, CA",0.733310891,0.01327503,"Huron, CA",0.69835513,0.012870139,"Santa Barbara, CA",0.403863011,0.01841924,"La Jolla, CA",0.402705291,0.08600346,0.595406149,0.027092486,,"Huron, CA",NuSVR,0.952966,Ensemble Bagging,0.763900,,,,,Elastic Net,"Amherst, MA","Amherst, MA",0.025337,0.000745,"Davis, CA",0.2571092,0.0063828,"Huron, CA",0.2571092,0.0063828,"Santa Barbara, CA",0.25581988,0.01035081,"La Jolla, CA",0.2379038,0.0093763,0.206655754,0.006647514,,"Huron, CA",Ensemble Bagging,0.002179,Elastic Net,0.620247,,,,,Elastic Net,"Amherst, MA","Amherst, MA",0.15916346,0.00234779,"Davis, CA",0.50703334,0.00629505,"Huron, CA",0.5070333,0.0062951,"Santa Barbara, CA",0.5057172,0.0102435,"La Jolla, CA",0.4876904,0.0096331,0.433327550,0.006962900,,"Huron, CA",Ensemble Bagging,0.046672,Decision Tree,0.500686,,
,,LSTM,"Amherst, MA","Amherst, MA",0.786242247,0.005505969,"Davis, CA",0.152485401,0.058340072,"Huron, CA",-0.734904178,0.103319323,"Santa Barbara, CA",-0.679887644,0.023447494,"La Jolla, CA",-0.562251172,0.078464451,-0.207663069,0.036070347,,"Huron, CA",Random Forest,0.950676,NuSVR,0.758083,,,,,LSTM,"Amherst, MA","Amherst, MA",0.013846,0.000381,"Davis, CA",0.1983805,0.0087848,"Huron, CA",0.0720655,0.0043269,"Santa Barbara, CA",0.08206756,0.00924888,"La Jolla, CA",0.0737630,0.0074644,0.088024585,0.006041180,,"Huron, CA",Random Forest,0.002392,Partial Least Squares,0.624129,,,,,LSTM,"Amherst, MA","Amherst, MA",#REF!,#REF!,"Davis, CA",#REF!,#REF!,"Huron, CA",#REF!,#REF!,"Santa Barbara, CA",#REF!,#REF!,"La Jolla, CA",#REF!,#REF!,#REF!,#REF!,,"Huron, CA",Random Forest,0.048906,Elastic Net,0.510282,,
,,GRU,"Amherst, MA","Amherst, MA",0.802711473,0.056012881,"Davis, CA",0.802820644,0.057085311,"Huron, CA",0.802716958,0.05608548,"Santa Barbara, CA",0.802716958,0.05608548,"La Jolla, CA",0.802716958,0.05608548,0.802736598,0.056269457,,"Huron, CA",MLP NN,0.946865,MLP NN,0.745354,,,,,GRU,"Amherst, MA","Amherst, MA",0.013731,0.000430,"Davis, CA",0.1724410,0.0073677,"Huron, CA",0.0893469,0.0054296,"Santa Barbara, CA",0.10393936,0.00479828,"La Jolla, CA",0.8027170,0.0560855,0.236434987,0.014822212,,"Huron, CA",MLP NN,0.002477,Linear Regression,0.624328,,,,,GRU,"Amherst, MA","Amherst, MA",#REF!,#REF!,"Davis, CA",#REF!,#REF!,"Huron, CA",#REF!,#REF!,"Santa Barbara, CA",#REF!,#REF!,"La Jolla, CA",#REF!,#REF!,#REF!,#REF!,,"Huron, CA",MLP,0.049761,Linear SGD Regressor,0.510518,,
,,Linear,"Davis, CA","Amherst, MA",-2.664266022,0.227374491,"Davis, CA",0.951528813,0.000820245,"Huron, CA",-60.88408015,1.862137858,"Santa Barbara, CA",-58.49096027,0.947168713,"La Jolla, CA",-93.69329517,2.294793097,-42.95621456,1.066458881,,"Santa Barbara, CA",Ensemble Bagging,0.860608,GRU,0.815995,,,,,Linear,"Davis, CA","Amherst, MA",0.097080,0.004638,"Davis, CA",0.0035210,0.0001346,"Huron, CA",0.2442204,0.0030197,"Santa Barbara, CA",0.28593871,0.00398769,"La Jolla, CA",0.3193361,0.0057215,0.190019268,0.003500316,,"Santa Barbara, CA",Ensemble Bagging,0.007296,GRU,0.318126,,,,,Linear,"Davis, CA","Amherst, MA",0.31151729,0.00746078,"Davis, CA",0.05933050,0.00113208,"Huron, CA",0.4941803,0.0030498,"Santa Barbara, CA",0.5347237,0.0037343,"La Jolla, CA",0.5650832,0.0050668,0.392966999,0.004088750,,"Santa Barbara, CA",Ensemble Bagging,0.085397,LSTM,#REF!,,
